Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
The Princess Diaries,USA,2001,115,4,0,Comédia,0,3.7
Barbie in the Nutcracker,USA,2001,77,4,0,Romance,1,3.4
"Monsters, Inc. ",USA,2001,92,4.5,0,Comédia,0,4.1
Donnie Darko,USA,2001,114,5,0,Mistério,0,4
Harry Potter and the Philosopher’s Stone,GBR,2001,152,3.5,0,Fantasia,0,3.8
O Corcunda de Notre Dame 2,USA,2002,68,NA,0,Comédia,1,2
Return to Never Land,USA,2002,72,NA,0,Fantasia,1,2.9
A Era do Gelo,USA,2002,81,4.5,0,Comédia,1,3.5
Attack of the Clones,USA,2002,142,4,0,Sci-fi,0,2.9
Scooby-Doo,USA,2002,87,5,0,Comédia,0,3.3
Lilo & Stitch,USA,2002,85,NA,0,Comédia,1,4
Men in Black II,USA,2002,88,NA,0,Sci-fi,0,3
Barbie as Rapunzel,USA,2002,84,3,0,Fantasia,1,3.5
Harry Potter and the Chamber of Secrets,GBR,2002,161,NA,0,Fantasia,0,3.6
Catch Me If You Can,USA,2002,141,5,0,Drama,0,4
Thirteen,USA,2003,100,3,0,Drama,0,3.5
Johnny English,GBR,2003,87,3.5,0,Aventura,0,3
The Matrix Reloaded,USA,2003,138,4,0,Thriller,0,3.4
Procurando Nemo,USA,2003,100,4,0,Aventura,1,4
"Legally Blonde 2: Red, White & Blonde",USA,2003,95,2.5,0,Romance,0,2.7
Sexta-Feira Muito Louca,USA,2003,97,4,0,Comédia,0,3.4
Barbie of Swan Lake,USA,2003,83,4,0,Fantasia,1,3.5
School of Rock,USA,2003,110,4.5,0,Comédia,0,3.8
The Matrix Revolutions,USA,2003,129,3,0,Thriller,0,3.1
Star Wars: Clone Wars,USA,2003,138,4.5,0,Guerra,1,4
Kill Bill: Vol. 1,USA,2003,111,5,0,Crime,0,4.2
Irmão Urso,USA,2003,85,3,0,Aventura,1,3.7
Monster,USA,2003,110,4,0,Drama,0,3.6
"Mickey, Donald, Goofy: The Three Musketeers",USA,2004,68,4,0,Aventura,1,3.3
Scooby-Doo 2: Monsters Unleashed,USA,2004,93,4,0,Comédia,0,3.2
Home on the Range,USA,2004,76,4,0,Comédia,1,2.7
Kill Bill: Vol. 2,USA,2004,136,5,0,Crime,0,4.1
Mean Girls,USA,2004,97,4,0,Comédia,0,3.8
Shrek 2,USA,2004,92,5,0,Aventura,1,4.1
Harry Potter and the Prisoner of Azkaban,GBR,2004,141,4,0,Fantasia,0,4.1
Garfield,USA,2004,80,3,0,Comédia,0,2.5
O Diário da Princesa 2,USA,2004,113,4,0,Romance,0,3.4
Hotel Rwanda,USA,2004,121,NA,0,História,0,3.8
Barbie: A Princesa e a Plebéia,CAN,2004,85,2.5,0,Fantasia,1,3.9
O Espanta Tubarões,USA,2004,90,2,0,Ação,1,2.9
Os Incríveis,USA,2004,115,4.5,0,Ação,1,4.1
Mulan II,USA,2004,79,NA,0,Ação,1,2.7
Bob Esponja - O Filme,USA,2004,87,5,0,Aventura,1,3.9
As Branquelas,USA,2004,109,5,0,Comédia,0,3.4
Constantine,USA,2005,121,4.5,0,Ação,0,3.4
Barbie: Fairytopia,CAN,2005,70,3,0,Fantasia,1,3.4
Revenge of the Sith,USA,2005,140,5,0,Sci-fi,0,3.9
Batman Begins,USA,2005,140,4.5,0,Ação,0,3.8
Madagascar,USA,2005,86,3.5,0,Aventura,1,3.5
Herbie Fully Loaded,USA,2005,100,NA,0,Aventura,0,2.5
Charlie and the Chocolate Factory,USA,2005,115,4,0,Fantasia,0,3.2
Barbie and the Magic of Pegasus,CAN,2005,85,3,0,Fantasia,1,3.6
O Galinho Chicken Little,USA,2005,81,3.5,0,Comédia,1,2.8
Harry Potter and the Goblet of Fire,GBR,2005,157,NA,0,Fantasia,0,3.8
As Crônicas de Nárnia,GBR,2005,143,3.5,0,Fantasia,0,3.5
Brokeback Mountain,USA,2005,134,5,0,Romance,0,4.1
A Noiva Cadáver,USA,2005,77,5,0,Fantasia,1,3.8
V de Vingança,GBR,2005,132,4.5,0,Thriller,0,3.9
Deu a Louca na Chapeuzinho,USA,2005,81,5,0,Comédia,1,3.3
Deu a Louca na Cinderela,USA,2006,87,4,0,Fantasia,1,2.4
High School Musical,USA,2006,98,3.5,0,Musical,0,3.2
Carros,USA,2006,117,4,0,Aventura,1,3.7
Garfield 2,USA,2006,82,3.5,0,Aventura,0,2.4
Barbie Fairytopia: Mermaidia,USA,2006,75,4,0,Aventura,1,3.6
Era do Gelo 2,USA,2006,91,2,0,Aventura,1,3.1
The Barbie Diaries,CAN,2006,70,3.5,0,Fantasia,1,3.1
The Da Vinci Code,USA,2006,149,4,0,Mistério,0,3.1
Casa Monstro,USA,2006,91,5,0,Fantasia,1,3.4
The Devil Wears Prada,USA,2006,109,4,0,Drama,0,3.8
Click,USA,2006,107,3,0,Comédia,0,2.9
Little Man,USA,2006,98,1,0,Comédia,0,2.1
Barbie in the 12 Dancing Princesses,CAN,2006,82,3,0,Fantasia,1,3.9
